Year,Listening_Skill,Clarity_of_Speech,Agent_Enthusiasm,Agent_Empathy,Identified_Customer,Provided_Accurate_Info,Average_Handling_Time,Customer_Satisfaction,Calls_Handled
2017,4,2,3,4,No,Yes,10.583935356117395,1,108
2017,5,2,3,5,Yes,Yes,11.936844608882566,1,96
2017,3,1,2,1,Yes,Yes,5.445603568225052,5,66
2017,5,4,4,1,Yes,Yes,2.2722844934018664,4,145
2017,5,2,1,5,Yes,No,3.0682316771935554,3,71
2017,2,3,4,3,Yes,Yes,14.582180452985396,3,117
2017,3,4,5,2,Yes,No,5.840782107206463,3,118
2017,3,5,3,4,No,Yes,11.999900921895737,1,86
2017,3,1,1,2,Yes,No,10.120626395105429,4,98
2017,5,5,1,5,Yes,Yes,6.965215315487646,5,62
2017,4,4,5,1,No,Yes,4.673934408542216,2,83
2017,3,4,5,1,No,Yes,3.5780234360722836,2,135
2017,5,4,2,4,No,No,9.995168584505265,3,102
2017,2,5,3,1,No,Yes,12.070239148291243,4,136
2017,4,4,3,1,Yes,Yes,10.370755296034698,1,100
2017,2,5,4,4,Yes,Yes,8.893927732239058,4,52
2017,4,4,2,4,Yes,Yes,2.5453659046112715,4,91
2017,5,3,2,5,Yes,Yes,14.59035410872699,1,147
2017,1,4,2,1,Yes,Yes,12.38328449150947,3,81
2017,4,5,2,1,Yes,Yes,5.8066864771125415,4,100
2017,2,2,3,5,Yes,Yes,14.739614281665059,2,134
2017,5,4,3,3,Yes,Yes,9.824460665272188,1,95
2017,4,2,2,3,Yes,Yes,9.571494556694205,5,70
2017,1,3,4,3,Yes,Yes,11.724951332583917,3,93
2017,1,1,1,5,Yes,Yes,12.553007245171788,1,60
2017,3,3,1,1,Yes,Yes,10.534221895309534,5,117
2017,3,4,4,5,No,Yes,3.6652447027606003,5,50
2017,2,2,2,5,Yes,Yes,6.397477577928479,4,141
2017,4,2,3,3,Yes,Yes,14.065087324238647,4,112
2017,4,5,1,2,Yes,Yes,4.920002953970075,4,73
2017,3,2,5,1,No,Yes,6.838171309887673,1,148
2017,4,5,5,3,Yes,Yes,7.616999478274548,1,62
2017,4,1,4,2,Yes,Yes,7.712264866027878,3,147
2017,1,4,2,2,Yes,Yes,9.968214572428831,4,60
2017,3,5,1,4,Yes,Yes,14.259985890681198,5,149
2017,5,1,2,1,No,Yes,5.129005253822564,2,100
2017,3,2,1,2,Yes,Yes,3.5795178919119346,3,66
2017,5,2,4,3,Yes,Yes,4.567116368179185,1,148
2017,1,1,4,4,No,Yes,13.530023702720504,3,131
2017,2,2,5,1,No,No,10.395540564517677,3,135
2017,4,1,2,5,Yes,Yes,5.716788260109082,3,73
2017,1,5,5,3,No,Yes,12.607310206592024,3,68
2017,4,5,2,2,Yes,Yes,13.197809952724668,2,86
2017,2,1,5,2,Yes,Yes,13.004686402973615,4,134
2017,2,5,3,3,Yes,Yes,13.946044937314207,5,57
2017,1,5,3,2,Yes,Yes,5.2791332622537,3,77
2017,2,5,3,4,Yes,Yes,11.815545073701617,3,54
2017,5,3,3,1,No,Yes,7.98701346456382,3,66
2017,2,4,1,4,No,Yes,12.9459811875708,4,85
2017,4,2,3,2,Yes,Yes,11.47037880310097,1,68
2018,4,3,4,5,No,Yes,12.09381680449642,1,113
2018,4,5,4,1,Yes,Yes,10.53010388985393,2,140
2018,4,1,1,1,Yes,No,4.306574003106189,1,147
2018,5,5,3,3,Yes,Yes,9.085349945660198,3,60
2018,3,4,3,3,Yes,Yes,14.800706613818607,3,103
2018,1,5,3,5,No,Yes,14.186044864462547,3,94
